h,kind,model,calls,itok,otok,cw,cr
2026-07-15 07:00:00+00,reflection,claude-opus-4-8,36,79269,11120,4289,113480
2026-07-18 12:00:00+00,reflection,claude-opus-4-8,133,355157,36497,4306,434102
