symbol,price,qty,fee_ccy,fee_amount,liquidity,venue_timestamp,source,ingested_at
BTC/USDT,64219.090000000000000000,0.000620000000000000,USDT,0.039815840000000000,taker,1783753200616,rest_reconcile,2026-07-11 07:00:09.099406+00
LINK/USDT,7.997000000000000000,4.990000000000000000,LINK,0.004990000000000000,maker,1783748950480,rest_reconcile,2026-07-11 05:49:19.811336+00
LINK/USDT,7.997000000000000000,0.630000000000000000,LINK,0.000630000000000000,maker,1783748946858,rest_reconcile,2026-07-11 05:49:09.805851+00
XRP/USDT,1.106100000000000000,40.600000000000000000,XRP,0.040600000000000000,maker,1783748497136,rest_reconcile,2026-07-11 05:41:39.218025+00
ETH/USDT,1796.320000000000000000,0.027800000000000000,ETH,0.000027800000000000,maker,1783745447463,rest_reconcile,2026-07-11 04:50:57.508876+00
XRP/USDT,1.105600000000000000,40.500000000000000000,USDT,0.044776800000000000,taker,1783744200806,rest_reconcile,2026-07-11 04:30:07.904896+00
ETH/USDT,1796.840000000000000000,0.019400000000000000,USDT,0.034858700000000000,taker,1783744202312,rest_reconcile,2026-07-11 04:30:06.961778+00
LINK/USDT,7.998000000000000000,5.640000000000000000,USDT,0.045108720000000000,taker,1783743313312,rest_reconcile,2026-07-11 04:15:18.302565+00
BTC/USDT,64125.960000000000000000,0.000620000000000000,BTC,0.000000620000000000,maker,1783739066355,rest_reconcile,2026-07-11 03:04:35.490973+00
BTC/USDT,64050.010000000000000000,0.000620000000000000,USDT,0.039711010000000000,taker,1783734308217,rest_reconcile,2026-07-11 01:45:14.535133+00
XRP/USDT,1.106200000000000000,40.600000000000000000,XRP,0.040600000000000000,maker,1783733895078,rest_reconcile,2026-07-11 01:38:15.834069+00
ETH/USDT,1794.860000000000000000,0.019400000000000000,ETH,0.000019400000000000,maker,1783733718031,rest_reconcile,2026-07-11 01:35:24.678489+00
LINK/USDT,7.948000000000000000,1.670000000000000000,LINK,0.001670000000000000,maker,1783729161925,rest_reconcile,2026-07-11 00:19:24.92673+00
LINK/USDT,7.948000000000000000,1.990000000000000000,LINK,0.001990000000000000,maker,1783729161793,rest_reconcile,2026-07-11 00:19:24.922733+00
LINK/USDT,7.948000000000000000,1.990000000000000000,LINK,0.001990000000000000,maker,1783729161368,rest_reconcile,2026-07-11 00:19:24.901405+00
ETH/USDT,1793.780000000000000000,0.025000000000000000,USDT,0.044844500000000000,taker,1783728908111,rest_reconcile,2026-07-11 00:15:13.485223+00
LINK/USDT,7.954000000000000000,6.900000000000000000,LINK,0.006900000000000000,maker,1783728844769,rest_reconcile,2026-07-11 00:14:14.999722+00
XRP/USDT,1.103700000000000000,31.600000000000000000,USDT,0.034876920000000000,taker,1783725309508,rest_reconcile,2026-07-10 23:15:13.662348+00
BTC/USDT,64100.000000000000000000,0.000620000000000000,BTC,0.000000620000000000,maker,1783723974015,rest_reconcile,2026-07-10 22:53:02.109702+00
ETH/USDT,1794.810000000000000000,0.025000000000000000,ETH,0.000025000000000000,maker,1783719929033,rest_reconcile,2026-07-10 21:45:31.562512+00
XRP/USDT,1.105500000000000000,31.600000000000000000,XRP,0.031600000000000000,maker,1783719186678,rest_reconcile,2026-07-10 21:33:08.78927+00
XRP/USDT,1.104900000000000000,40.500000000000000000,USDT,0.044748450000000000,taker,1783718112234,rest_reconcile,2026-07-10 21:15:18.024635+00
ETH/USDT,1789.600000000000000000,0.024900000000000000,USDT,0.044561040000000000,taker,1783717207719,rest_reconcile,2026-07-10 21:00:17.17391+00
