h,action,n,with_tokens
2026-07-15 09:00:00+00,hold,20,0
2026-07-15 22:00:00+00,hold,7,0
2026-07-15 23:00:00+00,error,1,0
2026-07-15 23:00:00+00,hold,4,0
2026-07-16 04:00:00+00,hold,1,0
2026-07-16 05:00:00+00,hold,4,2
2026-07-16 06:00:00+00,error,4,0
2026-07-16 06:00:00+00,hold,8,0
2026-07-16 06:00:00+00,long,2,1
2026-07-16 07:00:00+00,hold,17,4
2026-07-16 08:00:00+00,error,5,0
2026-07-16 08:00:00+00,hold,15,5
2026-07-16 09:00:00+00,hold,20,6
2026-07-16 10:00:00+00,hold,20,4
2026-07-16 11:00:00+00,hold,20,0
2026-07-16 12:00:00+00,hold,20,1
2026-07-16 13:00:00+00,hold,20,4
2026-07-16 14:00:00+00,hold,17,1
2026-07-16 14:00:00+00,long,3,2
2026-07-16 15:00:00+00,hold,19,1
2026-07-16 15:00:00+00,long,1,1
2026-07-16 16:00:00+00,hold,5,1
2026-07-17 00:00:00+00,flat,1,1
2026-07-17 00:00:00+00,hold,9,0
2026-07-17 01:00:00+00,hold,20,1
2026-07-17 02:00:00+00,hold,20,3
2026-07-17 03:00:00+00,hold,19,2
2026-07-17 03:00:00+00,long,1,1
2026-07-17 04:00:00+00,hold,20,4
2026-07-17 05:00:00+00,hold,20,3
2026-07-17 06:00:00+00,hold,20,4
2026-07-17 07:00:00+00,error,1,0
2026-07-17 07:00:00+00,hold,19,2
2026-07-17 08:00:00+00,error,2,0
2026-07-17 08:00:00+00,hold,18,2
2026-07-17 09:00:00+00,hold,23,1
2026-07-17 10:00:00+00,hold,32,8
2026-07-17 11:00:00+00,hold,29,3
2026-07-17 11:00:00+00,long,3,1
2026-07-17 12:00:00+00,hold,31,2
2026-07-17 12:00:00+00,long,1,1
2026-07-17 13:00:00+00,flat,2,0
2026-07-17 13:00:00+00,hold,30,4
2026-07-17 14:00:00+00,hold,31,4
2026-07-17 14:00:00+00,long,1,1
2026-07-17 15:00:00+00,hold,31,7
2026-07-17 15:00:00+00,long,1,1
2026-07-17 16:00:00+00,hold,24,3
2026-07-17 16:00:00+00,long,1,1
2026-07-17 17:00:00+00,hold,12,2
2026-07-17 17:00:00+00,long,2,2
2026-07-17 18:00:00+00,hold,32,2
2026-07-17 19:00:00+00,hold,32,2
2026-07-17 20:00:00+00,hold,32,0
2026-07-17 21:00:00+00,hold,32,3
2026-07-17 22:00:00+00,hold,32,8
2026-07-17 23:00:00+00,hold,31,5
2026-07-17 23:00:00+00,long,1,1
2026-07-18 00:00:00+00,hold,32,4
2026-07-18 01:00:00+00,hold,31,4
2026-07-18 01:00:00+00,long,1,1
2026-07-18 02:00:00+00,hold,32,8
2026-07-18 03:00:00+00,hold,32,8
2026-07-18 04:00:00+00,hold,32,6
2026-07-18 05:00:00+00,hold,32,8
2026-07-18 06:00:00+00,hold,32,8
2026-07-18 07:00:00+00,hold,31,8
2026-07-18 07:00:00+00,long,1,1
2026-07-18 08:00:00+00,flat,1,1
2026-07-18 08:00:00+00,hold,31,7
2026-07-18 09:00:00+00,flat,4,2
2026-07-18 09:00:00+00,hold,28,5
2026-07-18 10:00:00+00,flat,4,1
2026-07-18 10:00:00+00,hold,28,5
2026-07-18 11:00:00+00,hold,31,5
2026-07-18 11:00:00+00,long,1,1
2026-07-18 12:00:00+00,hold,30,3
2026-07-18 12:00:00+00,long,2,2
2026-07-18 13:00:00+00,hold,32,4
2026-07-18 14:00:00+00,hold,32,5
2026-07-18 15:00:00+00,error,2,0
2026-07-18 15:00:00+00,hold,36,3
2026-07-18 15:00:00+00,long,2,2
2026-07-18 16:00:00+00,hold,96,5
2026-07-18 17:00:00+00,hold,96,0
2026-07-18 18:00:00+00,hold,96,0
2026-07-18 19:00:00+00,hold,96,0
2026-07-18 20:00:00+00,hold,96,0
2026-07-18 21:00:00+00,hold,96,0
2026-07-18 22:00:00+00,hold,96,0
2026-07-18 23:00:00+00,hold,96,0
2026-07-19 00:00:00+00,error,2,0
2026-07-19 00:00:00+00,hold,94,2
2026-07-19 01:00:00+00,hold,96,0
2026-07-19 02:00:00+00,hold,96,0
2026-07-19 03:00:00+00,hold,96,0
2026-07-19 04:00:00+00,hold,96,0
2026-07-19 05:00:00+00,hold,96,0
2026-07-19 06:00:00+00,hold,96,0
2026-07-19 07:00:00+00,hold,96,0
2026-07-19 08:00:00+00,hold,96,0
2026-07-19 09:00:00+00,hold,96,0
2026-07-19 10:00:00+00,hold,48,0
2026-07-19 17:00:00+00,adjust,1,1
2026-07-19 17:00:00+00,error,1,0
2026-07-19 17:00:00+00,hold,70,0
2026-07-19 18:00:00+00,close,1,1
2026-07-19 18:00:00+00,error,1,0
2026-07-19 18:00:00+00,hold,94,0
2026-07-19 19:00:00+00,hold,94,0
2026-07-19 20:00:00+00,hold,96,0
2026-07-19 21:00:00+00,hold,87,0
2026-07-19 22:00:00+00,hold,96,0
2026-07-19 23:00:00+00,hold,96,0
2026-07-20 00:00:00+00,hold,96,0
2026-07-20 01:00:00+00,hold,96,6
2026-07-20 02:00:00+00,hold,96,0
2026-07-20 03:00:00+00,hold,96,0
2026-07-20 04:00:00+00,hold,96,0
2026-07-20 05:00:00+00,hold,96,0
2026-07-20 06:00:00+00,hold,72,0
