symbol,side,type,state,qty,cum_qty,limit_price,time_in_force,submitted_at,terminal_at
XRP/USDT,SELL,LIMIT,FILLED,40.500000000000000000,40.500000000000000000,1.102900000000000000,IOC,,1783744207907
BTC/USDT,BUY,LIMIT,CANCELED,1.000000000000000000,0.000000000000000000,,GTC,,1783971077136
XRP/USDT,BUY,LIMIT,FILLED,40.600000000000000000,40.600000000000000000,1.106100000000000000,GTC,,1783748499222
LINK/USDT,BUY,LIMIT,CANCELED,5.650000000000000000,0.000000000000000000,7.947000000000000000,GTC,,1783723510969
ETH/USDT,SELL,LIMIT,FILLED,0.024900000000000000,0.024900000000000000,1785.650000000000000000,IOC,,1783717217176
BTC/USDT,BUY,LIMIT,FILLED,0.000620000000000000,0.000620000000000000,64100.000000000000000000,GTC,,1783723982122
XRP/USDT,SELL,LIMIT,FILLED,40.500000000000000000,40.500000000000000000,1.102100000000000000,IOC,,1783718118027
LINK/USDT,BUY,LIMIT,CANCELED,5.620000000000000000,0.000000000000000000,7.989000000000000000,GTC,,1783746003013
BTC/USDT,SELL,LIMIT,FILLED,0.000620000000000000,0.000620000000000000,63897.860000000000000000,IOC,,1783734314537
XRP/USDT,BUY,LIMIT,FILLED,31.600000000000000000,31.600000000000000000,1.105500000000000000,GTC,,1783719188821
ETH/USDT,BUY,LIMIT,FILLED,0.025000000000000000,0.025000000000000000,1794.810000000000000000,GTC,,1783719931565
BTC/USDT,BUY,LIMIT,CANCELED,1.000000000000000000,0.000000000000000000,,GTC,,1783971077131
XRP/USDT,SELL,LIMIT,FILLED,31.600000000000000000,31.600000000000000000,1.101300000000000000,IOC,,1783725313664
LINK/USDT,BUY,LIMIT,FILLED,6.900000000000000000,6.900000000000000000,7.954000000000000000,GTC,,1783728855012
BTC/USDT,BUY,LIMIT,FILLED,0.000620000000000000,0.000620000000000000,64125.960000000000000000,GTC,,1783739075494
