id,run_id,ts,equity,cash,unrealized,peak,session_date_utc,gap_annotation,boot_id,mode
131331,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:45.048+00,4990.471374129550000000,4989.678046040000000000,-0.007783164466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131330,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:40.046+00,4990.471332839550000000,4989.678046040000000000,-0.007824454466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131329,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:35.046+00,4990.471347472650000000,4989.678046040000000000,-0.007809821366886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131328,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:30.017+00,4990.471314560450000000,4989.678046040000000000,-0.007842733566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131327,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:24.999+00,4990.471280660450000000,4989.678046040000000000,-0.007876633566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131326,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:19.989+00,4990.471308890450000000,4989.678046040000000000,-0.007848403566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131325,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:14.987+00,4990.471390015450000000,4989.678046040000000000,-0.007767278566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131324,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:09.961+00,4990.471573689550000000,4989.678046040000000000,-0.007583604466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131323,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:43:04.94+00,4990.471644130450000000,4989.678046040000000000,-0.007513163566886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
131322,run-83d9d8cb-50d5-46af-acad-71ff3b582b21,2026-07-20 06:42:59.937+00,4990.471819314550000000,4989.678046040000000000,-0.007337979466886364,5000.000000000000000000,2026-07-20,,83d9d8cb-50d5-46af-acad-71ff3b582b21,testnet
